concept_sportsteam_arizona_diamond_backs	Arizona Diamond Backs
concept_hobby_picnicking	Picnicking
concept_person_ian_porterfield	Ian Porterfield
concept_geopoliticallocation_kansai_international	Kansai International
34.4207550000000,135.2853350000000	34.4207550000000,135.2853350000000
concept_person_pierce_brosnan	Pierce Brosnan
concept_personcanada_keely_shaye_smith	Keely Shaye Smith
concept_book_tales_of_the_south_pacific	Tales Of The South Pacific
concept_stadiumoreventvenue_steinway_hall	Steinway Hall
concept_academicfield_society	Society
concept_politicianus_dwight_eisenhower	Dwight Eisenhower
concept_writer_patrick_o_brian	Patrick O Brian
concept_book_the_mauritius_command	The Mauritius Command
concept_city_ambler	Ambler
concept_ceo_richard	Richard
concept_bacteria_leptospira	Leptospira
concept_televisionstation_kdck	Kdck
concept_county_dickinson_law_school	Dickinson Law School
40.1995300000000,-77.1972000000000	40.1995300000000,-77.1972000000000
concept_company_bidvertiser	Bidvertiser
concept_attraction_whitehall	Whitehall
concept_athlete_brandon_phillips	Brandon Phillips
concept_city_sioux_falls	Sioux Falls
concept_ceo_sir_terry_leahy	Sir Terry Leahy
concept_biotechcompany_tesco	Tesco
concept_university_berklee_college_of_music	Berklee College Of Music
concept_geopoliticalorganization_venues	Venues
concept_physicalaction_users	Users
concept_profession_optometrists	Optometrists
concept_vein_toe	Toe
concept_protein_vitamin_d	Vitamin D
concept_drug_acetazolamide	Acetazolamide
concept_biotechcompany_wyeth_ayerst	Wyeth Ayerst
concept_sportsteamposition_defenseman	Defenseman
concept_city_college_station	College Station
concept_island_kinmen	Kinmen
concept_academicfield_cambridge_university_press	Cambridge University Press
concept_beverage_cocktail	Cocktail
concept_architect_charles	Charles
concept_personeurope_john_wesley	John Wesley
concept_officebuildingroom_chalets	Chalets
concept_mlconference_interview	Interview
concept_vehicle_policies	Policies
concept_musician_lee_ritenour	Lee Ritenour
concept_athlete_kyle_phillips	Kyle Phillips
concept_city_richmond_hill	Richmond Hill
concept_stadiumoreventvenue_harvard_stadium	Harvard Stadium
concept_sportsteam_pac_10_gear	Pac 10 Gear
concept_transportation_dulles_airport	Dulles Airport
concept_retailstore_bear_stearns	Bear Stearns
concept_sportsteam_ny_red_bulls	Ny Red Bulls
concept_city_hannibal	Hannibal
concept_writer_sheri_s__tepper	Sheri S Tepper
concept_sportsteam_kean_cougars	Kean Cougars
concept_bacteria_vre	Vre
concept_book_hogfather	Hogfather
concept_city_wausau	Wausau
concept_city_batesville	Batesville
concept_bathroomitem_separate_walk	Separate Walk
concept_winery_whiston	Whiston
53.0754357142857,-1.7908700000000	53.0754357142857,-1.7908700000000
concept_governmentorganization_us_forest_service	Us Forest Service
concept_grain_effect	Effect
concept_newspaper_connecticut_post	Connecticut Post
concept_person_buddha001	Buddha001
concept_vegetable_sprouts	Sprouts
concept_candy_rockcandy	Rockcandy
64.4551100000000,-138.3919000000000	64.4551100000000,-138.3919000000000
concept_personaustralia_tab	Tab
concept_athlete_kellen_clemens	Kellen Clemens
concept_sportsteam_canisius_college_golden_griffins	Canisius College Golden Griffins
concept_televisionstation_wdcq_tv	Wdcq TV
concept_visualizableattribute_major_water	Major Water
concept_clothing_cloak	Cloak
concept_vein_section	Section
concept_company_african_airways	African Airways
concept_athlete_jeremy_hermida	Jeremy Hermida
concept_sportsteam_lincoln_lions	Lincoln Lions
concept_athlete_st___anna	St Anna
47.8716466666667,9.5036433333333	47.8716466666667,9.5036433333333
concept_personmexico_joe_valentine	Joe Valentine
concept_bodypart_viscera	Viscera
concept_date_marshall	Marshall
concept_lake_bathurst_harbour	Bathurst Harbour
-43.3500000000000,146.1666700000000	-43.3500000000000,146.1666700000000
concept_athlete_gabe_kapler	Gabe Kapler
concept_city_winter_haven	Winter Haven
concept_athlete_dmitri_young	Dmitri Young
concept_city_clarksdale	Clarksdale
concept_politician_dmitri_medvedev	Dmitri Medvedev
concept_athlete_greg_smith	Greg Smith
concept_city_blair	Blair
concept_academicfield_educational_technology	Educational Technology
concept_scientificterm_linear_regression	Linear Regression
concept_clothing_bottoms	Bottoms
concept_officebuildingroom_studio_rooms	Studio Rooms
concept_mammal_canids	Canids
concept_sportsteam_evangel_university	Evangel University
concept_journalist_jim_john	Jim John
30.9690600000000,-98.4536400000000	30.9690600000000,-98.4536400000000
concept_emotion_numbness	Numbness
concept_ceo_ken_chenault	Ken Chenault
concept_physicalaction_american_express	American Express
concept_bank_rothschild	Rothschild
concept_biotechcompany_ibm_corp_	Ibm Corp
concept_televisionstation_kued	Kued
concept_person_amber_rose	Amber Rose
concept_actor_kanye_west	Kanye West
concept_website_faq	Faq
concept_port_torino_airport	Torino Airport
concept_city_turin	Turin
concept_buildingfeature_decks	Decks
concept_trail_greenbrier_state_forest	Greenbrier State Forest
37.7395700000000,-80.3334000000000	37.7395700000000,-80.3334000000000
concept_televisionstation_kake_tv	Kake TV
concept_animal_fowls	Fowls
concept_aquarium_incredable_aquarium	Incredable Aquarium
concept_hotel_taj_coromandel	Taj Coromandel
concept_book_cry_to_heaven	Cry To Heaven
concept_boardgame_press_release	Press Release
concept_tradeunion_present	Present
concept_food_healthy_diet	Healthy Diet
concept_male_kenosha	Kenosha
concept_dateliteral_n1911	N1911
concept_university_lawrence_berkeley_national_laboratory	Lawrence Berkeley National Laboratory
concept_coach_urls	Urls
concept_chemical_oxygen_gas	Oxygen Gas
concept_university_sinclair_college	Sinclair College
39.7633900000000,-84.1949400000000	39.7633900000000,-84.1949400000000
concept_monument_area_residents	Area Residents
concept_radiostation_koto	Koto
concept_furniture_queen_size_beds	Queen Size Beds
concept_scientificterm_variational_inference	Variational Inference
concept_ceo_use_acceptance	Use Acceptance
concept_county_rutherford	Rutherford
concept_person_carrie	Carrie
concept_female_sherry_johnston	Sherry Johnston
concept_country_uae_	Uae
concept_drug_baycol	Baycol
concept_disease_rhabdomyolysis	Rhabdomyolysis
concept_weapon_small_oil	Small Oil
34.6883600000000,-110.3965100000000	34.6883600000000,-110.3965100000000
concept_politicaloffice_keynote_speaker	Keynote Speaker
concept_clothing_short_sleeve_shirt	Short Sleeve Shirt
concept_stateorprovince_south_australia	South Australia
concept_athlete_sprewell	Sprewell
concept_academicfield_women_studies	Women Studies
concept_politician_francis_slay	Francis Slay
concept_insect_larva	Larva
concept_arthropod_cicadas	Cicadas
concept_writer_jeff_noon	Jeff Noon
concept_book_vurt	Vurt
concept_river_manzanares	Manzanares
concept_athlete_antonio_tarver	Antonio Tarver
concept_wine_bordeaux	Bordeaux
concept_person_agnes	Agnes
concept_beach_hospitals	Hospitals
concept_city_hat_yai	Hat Yai
concept_organization_sort	Sort
concept_visualartist_magritte	Magritte
concept_university_sooners	Sooners
concept_personmexico_sam_bradford	Sam Bradford
concept_arachnid_kids	Kids
concept_governmentorganization_u_s__secret_service	US Secret Service
concept_bank_royal_dutch_shell	Royal Dutch Shell
concept_ceo_peter_voser	Peter Voser
concept_book_a_graveyard_for_lunatics_another_tale_o	A Graveyard For Lunatics Another Tale O
concept_emotion_addiction	Addiction
concept_newspaper_business_journal	Business Journal
concept_room_oceanfront_master	Oceanfront Master
concept_park_charlesbank_park	Charlesbank Park
concept_politicianus_jack_dalrymple	Jack Dalrymple
concept_athlete_brian_bannister	Brian Bannister
concept_park_hotel_green_park	Hotel Green Park
37.5180000000000,127.0170000000000	37.5180000000000,127.0170000000000
concept_city_gaylord	Gaylord
concept_animal_filter_feeders	Filter Feeders
concept_river_po	Po
concept_sportsgame_cancellation	Cancellation
concept_drug_aleve	Aleve
concept_musician_elvis	Elvis
concept_university_district	District
concept_politicsissue_nebraska	Nebraska
concept_county_syracuse_school	Syracuse School
41.0916100000000,-112.0652200000000	41.0916100000000,-112.0652200000000
concept_animal_wild_rabbits	Wild Rabbits
concept_profession_education	Education
concept_bedroomitem_dressor	Dressor
39.1731000000000,-89.0511800000000	39.1731000000000,-89.0511800000000
concept_professionalorganization_heart_association	Heart Association
concept_bedroomitem_n4_poster_bed	N4 Poster Bed
concept_park_congr	Congr
concept_visualizablething_loggia	Loggia
concept_river_niger	Niger
concept_stateorprovince_orissa	Orissa
concept_beverage_tap_water	Tap Water
concept_athlete_jack_nicklaus	Jack Nicklaus
concept_athlete_legendary_arnold_palmer	Legendary Arnold Palmer
concept_city_jeddah	Jeddah
concept_personmexico_j_williams	J Williams
concept_sport_sporting_events	Sporting Events
concept_mlmetric_list	List
concept_visualizableobject_hair_dryer	Hair Dryer
concept_nongovorganization_news	News
concept_scientificterm_decision_trees	Decision Trees
concept_scientificterm_bagging	Bagging
concept_book_birdy	Birdy
concept_writer_william_wharton	William Wharton
concept_book_california_hit	California Hit
concept_city_tempe	Tempe
concept_weapon_nuclear_weapons	Nuclear Weapons
concept_visualizablething_lower_floor	Lower Floor
concept_sportsteam_calgary_flames	Calgary Flames
concept_profession_nannies	Nannies
concept_vertebrate_little_dogs	Little Dogs
concept_website_dogpile__com	Dogpile Com
concept_mammal_pugs	Pugs
concept_athlete_tim_dillard	Tim Dillard
concept_politicianus_nita_lowey	Nita Lowey
concept_female_dolphins	Dolphins
concept_coach_sparano	Sparano
concept_island_hamilton_island	Hamilton Island
concept_tableitem_site_visitor	Site Visitor
40.2053600000000,-75.7735900000000	40.2053600000000,-75.7735900000000
concept_city_ho_chi_minh_city	Ho Chi Minh City
concept_room_loft_master_bedroom	Loft Master Bedroom
concept_city_la_push	La Push
47.9086800000000,-124.6366000000000	47.9086800000000,-124.6366000000000
concept_mountain_chomolungma	Chomolungma
27.9879100000000,86.9252900000000	27.9879100000000,86.9252900000000
concept_city_tripler_army_medical_center	Tripler Army Medical Center
concept_scientificterm_eigenvalues_and_eigenvectors	Eigenvalues And Eigenvectors
concept_book_dead_in_the_family	Dead In The Family
concept_stateorprovince_pa	Pa
concept_ceo_ivan_seidenberg	Ivan Seidenberg
concept_company_verizon_communications	Verizon Communications
concept_website_one_week	One Week
concept_furniture_bunk_beds	Bunk Beds
concept_city_reykjavik	Reykjavik
concept_county_acquisition	Acquisition
concept_country_new_south_wales	New South Wales
concept_academicfield_pharmacy	Pharmacy
concept_county_oakland	Oakland
concept_politicianus_john_dingell	John Dingell
concept_city_cresskill	Cresskill
concept_person_kelly	Kelly
concept_building_wynn_las_vegas	Wynn Las Vegas
concept_politicianus_ralph_nader	Ralph Nader
concept_televisionstation_wmdt	Wmdt
concept_bank_wells_fargo	Wells Fargo
concept_televisionstation_kobi	Kobi
concept_company_motorola001	Motorola001
concept_blog_good	Good
concept_musician_francis	Francis
concept_stadiumoreventvenue_safeco_field	Safeco Field
concept_person_melissa_etheridge	Melissa Etheridge
concept_director_julie_cypher	Julie Cypher
concept_profession_support_staff	Support Staff
concept_bank_donaldson_lufkin___jenrette	Donaldson Lufkin Jenrette
concept_room_levels	Levels
concept_stadiumoreventvenue_rice_eccles_stadium	Rice Eccles Stadium
concept_language_castillian	Castillian
concept_musicartist_blur	Blur
concept_beach_fort_pierce	Fort Pierce
concept_athlete_vinny_lecavalier	Vinny Lecavalier
concept_sportsteam_st__peter_s_peacocks	St Peter S Peacocks
concept_city_astrakhan	Astrakhan
concept_website_start_up	Start Up
concept_politicianus_thomas_carper	Thomas Carper
concept_city_mombasa	Mombasa
concept_ceo_service_contact_us__	Service Contact Us
concept_city_dungannon	Dungannon
concept_river_clinch	Clinch
concept_city_arena	Arena
concept_sportsteam_expos	Expos
concept_sportsteam_iowa_hawkeyes	Iowa Hawkeyes
concept_county_nova_southeastern_university	Nova Southeastern University
concept_publication_wnep_tv	Wnep TV
concept_hotel_nutel_motel	Nutel Motel
concept_bank_fannie_mae_and_freddy_mac	Fannie Mae And Freddy Mac
concept_profession_builders	Builders
concept_sportsteam_louisiana_state_tigers	Louisiana State Tigers
concept_room_large_main_bedroom	Large Main Bedroom
concept_sportsteam_tulane_green_wave	Tulane Green Wave
concept_officebuildingroom_lodge_rooms	Lodge Rooms
concept_programminglanguage_dreamweaver	Dreamweaver
concept_musicalbum_two_years	Two Years
concept_building_sunset_station	Sunset Station
concept_jobposition_bodyguard	Bodyguard
concept_book_the_wasp_factory	The Wasp Factory
concept_writer_iain_banks	Iain Banks
concept_city_beverly_hills	Beverly Hills
concept_person_bl__innocent_xi	Bl Innocent Xi
concept_researchproject_information_technology	Information Technology
concept_city_bandar_seri_begawan	Bandar Seri Begawan
concept_city_brunei	Brunei
concept_aquarium_pittsburgh_aqua_zoo	Pittsburgh Aqua Zoo
concept_plant_crepe_myrtles	Crepe Myrtles
concept_officebuildingroom_modern_bathroom	Modern Bathroom
concept_city_hyderabad	Hyderabad
concept_academicfield_human_resources_management	Human Resources Management
concept_city_pristina	Pristina
concept_clothing_undershirt	Undershirt
concept_person_sister_emmanuelle	Sister Emmanuelle
concept_jobposition_nun	Nun
concept_profession_maintenance	Maintenance
concept_hotel_hilton_atlanta_airport	Hilton Atlanta Airport
concept_musician_ron_wood	Ron Wood
concept_visualizablething_bayleaf	Bayleaf
35.7632100000000,-78.3949033333333	35.7632100000000,-78.3949033333333
concept_musician_slash	Slash
concept_book_the_surgeon_s_mate	The Surgeon S Mate
concept_lake_olympic_peninsula	Olympic Peninsula
concept_sportsteam_middle_tennessee_state_university	Middle Tennessee State University
concept_county_glasgow	Glasgow
concept_park_paradisus_varadero	Paradisus Varadero
23.2001700000000,-81.1563000000000	23.2001700000000,-81.1563000000000
concept_emotion_feelings	Feelings
concept_politician_bingaman	Bingaman
concept_personmexico_ralph_sampson	Ralph Sampson
38.4542900000000,-78.8555800000000	38.4542900000000,-78.8555800000000
concept_scientist_marcus_aurelius	Marcus Aurelius
concept_book_meditations	Meditations
concept_musicalbum_reuters	Reuters
concept_retailstore_contacts	Contacts
concept_athlete_devin_hester	Devin Hester
concept_politicianus_edward_l__schrock	Edward L Schrock
concept_athlete_craig_morton	Craig Morton
concept_personeurope_andrew_marr	Andrew Marr
concept_academicfield_radiation_oncology	Radiation Oncology
concept_book_the_invisible_man	The Invisible Man
concept_scientist_h__g__wells	H G Wells
concept_athlete_sean_may	Sean May
concept_clothing_fishnets	Fishnets
concept_artery_foot	Foot
concept_date_mgm	Mgm
concept_retailstore_sony	Sony
concept_coach_edmonton_oilers	Edmonton Oilers
concept_personus_service_learn	Service Learn
concept_director_vissarion	Vissarion
concept_athlete_lamont_jordan	Lamont Jordan
concept_politician_senator_dianne_feinstein	Senator Dianne Feinstein
concept_city_loma_linda	Loma Linda
concept_clothing_capelet	Capelet
44.0795100000000,7.4268400000000	44.0795100000000,7.4268400000000
concept_city_south_houston	South Houston
concept_company_visitors	Visitors
concept_university_nottingham_trent_university	Nottingham Trent University
concept_governmentorganization_note	Note
concept_county_god	God
concept_person_henrik_lundqvist	Henrik Lundqvist
concept_landscapefeatures_neighbors	Neighbors
concept_book_goodnight_moon	Goodnight Moon
concept_writer_margaret_wise_brown	Margaret Wise Brown
concept_fish_red_snapper	Red Snapper
concept_condiment_butter_sauce	Butter Sauce
concept_automobilemaker_profile_jeep	Profile Jeep
concept_visualartist_jack_b__yeats	Jack B Yeats
concept_musicartist_chief	Chief
concept_filmfestival_eight	Eight
concept_flooritem_sleeper_couch	Sleeper Couch
concept_furniture_secretaire	Secretaire
46.8001000000000,-74.8159400000000	46.8001000000000,-74.8159400000000
concept_country_congo_brazzaville	Congo Brazzaville
concept_sportsequipment_fishing_gear	Fishing Gear
concept_city_gadsden	Gadsden
concept_plant_white_pine	White Pine
concept_chemical_solution	Solution
concept_person_kate_hudson	Kate Hudson
concept_book_bride_wars	Bride Wars
concept_city_l_a_	L A
concept_museum_british_museum	British Museum
concept_book_for_your_eyes_only_a_james_bond_novel	For Your Eyes Only A James Bond Novel
concept_museum_victoria_home	Victoria Home
41.1644400000000,-73.8655600000000	41.1644400000000,-73.8655600000000
concept_lake_yalong_bay	Yalong Bay
18.2333000000000,109.4833000000000	18.2333000000000,109.4833000000000
concept_cardgame_twenty	Twenty
concept_person_larry_ellison	Larry Ellison
concept_bank_oracle_corporation	Oracle Corporation
concept_sportsteam_northwest_missouri_state_bearcats	Northwest Missouri State Bearcats
concept_disease_varicella	Varicella
concept_vegetable_steamed_vegetables	Steamed Vegetables
concept_visualizablething_kasane	Kasane
concept_country_botswana	Botswana
concept_politicsissue_regents	Regents
concept_politicianus_jerry_lewis	Jerry Lewis
concept_cheese_goat	Goat
concept_automobilemaker_small	Small
concept_agriculturalproduct_berries	Berries
concept_personus_geraldine_brooks	Geraldine Brooks
concept_book_people_of_the_book	People Of The Book
concept_person_kim	Kim
concept_park_parliament_house	Parliament House
concept_city_mcpherson	Mcpherson
concept_aquarium_home_octopus_aquarium	Home Octopus Aquarium
concept_writer_adalbert_stifter	Adalbert Stifter
concept_musicsong_indian_summer	Indian Summer
concept_city_goleta	Goleta
concept_city_martinsburg	Martinsburg
concept_vehicle_fuels	Fuels
concept_vehicle_oil	Oil
concept_port_portable_air	Portable Air
concept_reptile_small_birds	Small Birds
concept_disease_initiated	Initiated
concept_company_chevron001	Chevron001
concept_beverage_shake	Shake
concept_person_redford	Redford
concept_televisionstation_kgwl_tv	Kgwl TV
concept_bakedgood_sweets	Sweets
concept_city_universal_city	Universal City
concept_person_gerald_levin	Gerald Levin
concept_male_jennifer_granholm	Jennifer Granholm
concept_personeurope_margaret_mitchell	Margaret Mitchell
concept_book_gone_with_the_wind	Gone With The Wind
concept_everypromotedthing_n7_restart	N7 Restart
concept_hotel_hilton_templepatrick	Hilton Templepatrick
54.7067500000000,-6.0925000000000	54.7067500000000,-6.0925000000000
concept_city_stockbridge	Stockbridge
concept_sportsteam_mvc_gear	Mvc Gear
concept_mountain_phulchoki	Phulchoki
27.5833300000000,85.4000000000000	27.5833300000000,85.4000000000000
concept_book_the_angel_s_game	The Angel S Game
concept_female_sexual_abuse	Sexual Abuse
concept_crimeorcharge_child	Child
concept_televisionstation_keci	Keci
concept_city_creamery	Creamery
concept_athlete_robin_nelson	Robin Nelson
concept_city_easton	Easton
concept_personus_jeanne_duprau	Jeanne Duprau
concept_book_the_city_of_ember	The City Of Ember
concept_officebuildingroom_bathroom_facilities	Bathroom Facilities
concept_vertebrate_shelter_dogs	Shelter Dogs
concept_athlete_troy_brouwer	Troy Brouwer
concept_currency_kwacha	Kwacha
concept_athlete_blake_hawksworth	Blake Hawksworth
concept_movie_rocky	Rocky
concept_drug_plendil	Plendil
concept_weapon_last_coal	Last Coal
concept_coach_ryan_fitzpatrick	Ryan Fitzpatrick
concept_ceo_use_write	Use Write
concept_personmexico_eddie_guardado	Eddie Guardado
concept_weapon_railguns	Railguns
concept_sportsteam_usc_upstate_spartans	Usc Upstate Spartans
concept_agriculturalproduct_cups	Cups
concept_transportation_baltimore_washington_international_airport	Baltimore Washington International Airport
39.1756550000000,-76.6853550000000	39.1756550000000,-76.6853550000000
concept_plant_products	Products
concept_politicianus_form	Form
concept_artery_left_side	Left Side
concept_website_partnership	Partnership
concept_visualizableobject_dome	Dome
concept_personmexico_doug_camilli	Doug Camilli
concept_personus_dolph_camilli	Dolph Camilli
concept_personaustralia_christopher_brookmyre	Christopher Brookmyre
concept_book_pandaemonium	Pandaemonium
concept_politicsissue_animals	Animals
concept_stadiumoreventvenue_exposition_park	Exposition Park
concept_writer_pd_james	Pd James
concept_book_cover_her_face	Cover Her Face
concept_date__07	07
concept_book_the_catcher_in_the_rye	The Catcher In The Rye
concept_writer_j_d__salinger	J D Salinger
concept_city_drexel_hill	Drexel Hill
concept_university_sonoma_state_university	Sonoma State University
concept_sportsteam_high_point_university_panthers	High Point University Panthers
concept_hotel_ramee_hotel_apartments_abu	Ramee Hotel Apartments Abu
24.4666000000000,54.3666000000000	24.4666000000000,54.3666000000000
concept_city_caruthersville	Caruthersville
concept_room_ceilings	Ceilings
concept_vegetable_soybeans	Soybeans
concept_personaustralia_brian_mcbride	Brian Mcbride
concept_stadiumoreventvenue_toyota_park	Toyota Park
concept_plant_snowdrops	Snowdrops
concept_coach_n3	N3
concept_musicalbum_remains	Remains
concept_person_ed_crosby	Ed Crosby
concept_athlete_bobby_crosby	Bobby Crosby
concept_drug_renova	Renova
concept_athlete_al_leiter	Al Leiter
concept_tradeunion_statements	Statements
concept_book_mosaic	Mosaic
concept_visualizablething_employment	Employment
concept_athlete_brandon_webb	Brandon Webb
concept_disease_spectrum_disorder	Spectrum Disorder
concept_televisionstation_kocb	Kocb
concept_street_winterhaven	Winterhaven
concept_televisionstation_ktuz_tv	Ktuz TV
concept_book_first_meetings_in_the_enderverse	First Meetings In The Enderverse
concept_wine_thompson	Thompson
concept_athlete_kasey_kahne	Kasey Kahne
concept_book_debt_of_bones	Debt Of Bones
concept_sportsgame_n1924_world_series	N1924 World Series
concept_mountain_green_creek	Green Creek
concept_city_medford_lakes	Medford Lakes
concept_geometricshape_sectors	Sectors
concept_mammal_chamois	Chamois
concept_visualartist_durer	Durer
concept_newspaper_salon_com	Salon Com
concept_academicfield_journalism	Journalism
concept_scientificterm_adaboost	Adaboost
concept_scientificterm_boosting_as_optimization	Boosting As Optimization
concept_officebuildingroom_living_rooms	Living Rooms
concept_person_stuart_lewis_evans	Stuart Lewis Evans
concept_criminal_authorities	Authorities
concept_city_lutwyche	Lutwyche
-27.4227500000000,153.0335400000000	-27.4227500000000,153.0335400000000
concept_scientist_hermann_hesse	Hermann Hesse
concept_book_demian	Demian
concept_bakedgood_croissants	Croissants
concept_sportsteam_se_missouri_state_redhawks	Se Missouri State Redhawks
concept_ceo_edward_liddy	Edward Liddy
concept_island_aig	Aig
concept_book_s_is_for_silence	S Is For Silence
concept_journalist_david_chen	David Chen
concept_televisionstation_wgem	Wgem
concept_politicianus_chuck_hagel	Chuck Hagel
concept_hallwayitem_steam	Steam
concept_hotel_oberoi_rajvilas	Oberoi Rajvilas
concept_televisionstation_los_angeles_times	Los Angeles Times
concept_landscapefeatures_water	Water
concept_park_kentish_town	Kentish Town
51.5496525000000,-0.1418300000000	51.5496525000000,-0.1418300000000
concept_city_bremerton	Bremerton
concept_athlete_rod_smith	Rod Smith
concept_attraction_apple_market	Apple Market
concept_musicinstrument_trombone	Trombone
concept_televisionstation_wkmr	Wkmr
concept_female_alaska_gov__sarah_palin	Alaska Gov Sarah Palin
concept_visualizablescene_la_massana	La Massana
concept_book_on_the_road	On The Road
concept_date_christmas_eve	Christmas Eve
concept_clothing_tank	Tank
concept_weapon_cluster_weapons	Cluster Weapons
concept_director_jake_kasdan	Jake Kasdan
concept_movie_bad_teacher	Bad Teacher
concept_sport_watersports	Watersports
concept_geopoliticalorganization_chin	Chin
concept_person_wendi_deng	Wendi Deng
concept_movie_daddy_day_care	Daddy Day Care
concept_televisionstation_whyy	Whyy
concept_athlete_felipe_paulino	Felipe Paulino
concept_skiarea_aonach_mor	Aonach Mor
56.8112200000000,-4.9908000000000	56.8112200000000,-4.9908000000000
concept_date_work	Work
concept_company_cavium_networks	Cavium Networks
concept_ceo_syed_b__ali	Syed B Ali
concept_academicfield_biological_engineering	Biological Engineering
concept_female_electra	Electra
concept_person_dardanus	Dardanus
concept_sportsteam_alabama_crimson_tide	Alabama Crimson Tide
concept_landscapefeatures_rock_pools	Rock Pools
-3.7833300000000,38.6166700000000	-3.7833300000000,38.6166700000000
concept_newspaper_minnesota	Minnesota
concept_automobilemodel_primary_focus	Primary Focus
concept_person_mark_consuelos	Mark Consuelos
concept_female_kelly_ripa	Kelly Ripa
concept_musician_steven_page	Steven Page
concept_musicartist_barenaked_ladies	Barenaked Ladies
concept_academicfield_music_therapy	Music Therapy
concept_model_nairobi	Nairobi
concept_automobilemaker_video	Video
concept_city_oaklandon	Oaklandon
39.8790700000000,-85.9563750000000	39.8790700000000,-85.9563750000000
concept_profession_archivists	Archivists
concept_profession_conservators	Conservators
concept_person_students	Students
concept_book_defend_and_betray	Defend And Betray
concept_book_a_man_without_a_country	A Man Without A Country
concept_writer_kurt_vonnegut	Kurt Vonnegut
concept_scientist_salvador	Salvador
concept_wine_bahia	Bahia
concept_person_gerry	Gerry
concept_sportsteam_san_jose_state_spartans	San Jose State Spartans
concept_airport_amsterdam_airport_schiphol	Amsterdam Airport Schiphol
concept_person_case_western_reserve	Case Western Reserve
concept_emotion_fields	Fields
concept_city_east_point	East Point
concept_athlete_chris_carpenter	Chris Carpenter
concept_personaustralia_tyson_chandler	Tyson Chandler
concept_personmexico_nenad_krstic	Nenad Krstic
concept_person_sara	Sara
concept_awardtrophytournament_world_cup	World Cup
concept_bakedgood_pizza	Pizza
concept_bank_business_development	Business Development
concept_musicgenre_soul	Soul
concept_personeurope_james_jones	James Jones
concept_book_from_here_to_eternity	From Here To Eternity
concept_journalist_george_f__will	George F Will
concept_bathroomitem_job	Job
concept_academicfield_tesol	Tesol
concept_scientist_albert_hofmann	Albert Hofmann
concept_magazine_sandoz	Sandoz
concept_writer_j_m__barrie	J M Barrie
concept_visualizableobject_world	World
concept_nut_reference	Reference
concept_personmexico_yovani_gallardo	Yovani Gallardo
concept_city_graz	Graz
concept_river_mur	Mur
concept_actor_steven_brust	Steven Brust
concept_book_jhereg	Jhereg
concept_park_kumarakom_lake_resort	Kumarakom Lake Resort
9.5894500000000,76.5285900000000	9.5894500000000,76.5285900000000
concept_hobby_charlottesville	Charlottesville
concept_scientist_position	Position
concept_aquarium_pictures_of_freshwater_fish_and_aquarium	Pictures Of Freshwater Fish And Aquarium
concept_bacteria_p__aeruginosa	P Aeruginosa
concept_wine_cameron	Cameron
concept_ceo_sheldon_erikson	Sheldon Erikson
concept_visualizableobject_visitors	Visitors
concept_newspaper_utah	Utah
concept_clothing_stockings	Stockings
concept_athlete_greg_jones	Greg Jones
concept_hotel_hotel_warwick	Hotel Warwick
-41.2815300000000,173.2805900000000	-41.2815300000000,173.2805900000000
concept_personcanada_lemony_snicket	Lemony Snicket
concept_writer_a_series_of_unfortunate_events	A Series Of Unfortunate Events
concept_museum_phoenix_museum_of_history	Phoenix Museum Of History
33.4497700000000,-112.0668100000000	33.4497700000000,-112.0668100000000
concept_televisionstation_ktvz_tv	Ktvz TV
concept_televisionstation_kxrm	Kxrm
concept_musicgenre_british_rock	British Rock
concept_person_bradford_l__smith	Bradford L Smith
concept_city_huntington	Huntington
concept_book_a_song_of_stone	A Song Of Stone
concept_automobilemodel_probe	Probe
concept_bakedgood_fresh_waffles	Fresh Waffles
concept_drug_enoxaparin	Enoxaparin
concept_musician_louis_armstrong	Louis Armstrong
concept_musicinstrument_trumpet	Trumpet
concept_food_men	Men
concept_university_brooklyn_college	Brooklyn College
concept_drug_lipitor	Lipitor
concept_physiologicalcondition_cholesterol	Cholesterol
concept_personafrica_ren__goscinny	Ren Goscinny
concept_book_asterix_the_gaul	Asterix The Gaul
concept_emotion_deliveries	Deliveries
concept_city_racine	Racine
concept_politicsissue_resources	Resources
concept_chef_kalle_lasn	Kalle Lasn
concept_publication_adbusters	Adbusters
concept_male_thomas_stevenson	Thomas Stevenson
concept_book_seven_pillars_of_wisdom	Seven Pillars Of Wisdom
concept_personeurope_lawrence	Lawrence
concept_person_erick_snyder	Erick Snyder
concept_animal_fatty_fish	Fatty Fish
concept_fish_mackerel	Mackerel
concept_airport_baghdad_international	Baghdad International
concept_jobposition_campaign_driver	Campaign Driver
concept_scientificterm_hidden_markov_models	Hidden Markov Models
concept_restaurant_melting_pot	Melting Pot
concept_lake_tamarack	Tamarack
concept_city_bismarck	Bismarck
concept_city_contents	Contents
concept_furniture_king_size_beds	King Size Beds
concept_university_pennsylvania_state	Pennsylvania State
concept_date_holiday	Holiday
concept_movie_star_wars	Star Wars
concept_consumerelectronicitem_ms_word	Ms Word
concept_city_elmira	Elmira
concept_sportsequipment_inch_balls	Inch Balls
concept_musicartist_buzzcocks	Buzzcocks
concept_aquarium_snails_in_fish_aquarium	Snails In Fish Aquarium
concept_hotel_sheraton_richmond_west	Sheraton Richmond West
